epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6509,1.39799,1.18612,1.10273,0.53438,0.46891,0.46567,0.28661,1.30972,1.09166,1.06454,0.000331224,0.000331224,0.000331224
2,157.674,1.39431,1.05276,1.08761,0.64473,0.4138,0.46638,0.28227,1.35385,1.02586,1.07562,0.000642627,0.000642627,0.000642627
3,234.707,1.41526,1.04016,1.0937,0.6028,0.49171,0.51926,0.30879,1.3546,0.95493,1.07892,0.00093203,0.00093203,0.00093203
4,313.256,1.38836,0.99519,1.08093,0.69643,0.52288,0.58116,0.35344,1.3264,0.91966,1.06934,0.000901,0.000901,0.000901
5,391.764,1.36132,0.9504,1.07755,0.67004,0.53848,0.59333,0.35932,1.30157,0.89686,1.0532,0.000868,0.000868,0.000868
6,469.088,1.3377,0.91784,1.05784,0.72899,0.54058,0.61604,0.37356,1.2929,0.86652,1.05035,0.000835,0.000835,0.000835
7,548.004,1.32773,0.89853,1.0556,0.72053,0.52775,0.5993,0.36447,1.26983,0.83812,1.03798,0.000802,0.000802,0.000802
8,624.698,1.31581,0.86531,1.04396,0.70696,0.56,0.62158,0.38835,1.26675,0.84581,1.02618,0.000769,0.000769,0.000769
9,703.302,1.28418,0.84788,1.03864,0.6737,0.58473,0.63199,0.39023,1.26734,0.80386,1.03025,0.000736,0.000736,0.000736
10,781.86,1.27373,0.81903,1.03183,0.71791,0.58067,0.64141,0.40217,1.238,0.80199,1.01979,0.000703,0.000703,0.000703
11,860.107,1.26488,0.81857,1.02404,0.80561,0.57315,0.66749,0.40841,1.2327,0.78226,1.01651,0.00067,0.00067,0.00067
12,938.48,1.25516,0.79537,1.02066,0.78165,0.59766,0.66752,0.41935,1.2234,0.76062,1.00785,0.000637,0.000637,0.000637
13,1017.45,1.2425,0.78842,1.01092,0.76104,0.59941,0.66643,0.41834,1.22772,0.76724,1.01443,0.000604,0.000604,0.000604
14,1094.28,1.22512,0.76937,1.00847,0.77848,0.58537,0.66631,0.41961,1.21602,0.76561,1.01049,0.000571,0.000571,0.000571
15,1173,1.21493,0.75639,1.00204,0.77753,0.59861,0.67764,0.43168,1.19919,0.74155,0.99639,0.000538,0.000538,0.000538
16,1250.84,1.20619,0.75524,0.99994,0.77555,0.60491,0.68266,0.42987,1.20394,0.7462,1.00034,0.000505,0.000505,0.000505
17,1327.89,1.20306,0.7357,0.99569,0.80926,0.59341,0.68843,0.43803,1.19107,0.73802,0.99704,0.000472,0.000472,0.000472
18,1405.07,1.18366,0.73308,0.9931,0.78279,0.62107,0.6907,0.44324,1.18878,0.73785,0.99196,0.000439,0.000439,0.000439
19,1483.28,1.18155,0.71831,0.98764,0.78159,0.63381,0.70751,0.45021,1.18521,0.70888,0.99061,0.000406,0.000406,0.000406
20,1561.11,1.15906,0.70427,0.98023,0.79526,0.62809,0.70646,0.45337,1.17778,0.71377,0.98796,0.000373,0.000373,0.000373
21,1638.75,1.1769,0.68782,0.98507,0.79892,0.62476,0.70584,0.45614,1.16796,0.70887,0.98533,0.00034,0.00034,0.00034
22,1714.97,1.16233,0.67185,0.97527,0.81921,0.63101,0.71366,0.46084,1.16624,0.7014,0.98356,0.000307,0.000307,0.000307
23,1790.84,1.15022,0.6623,0.97472,0.81282,0.63546,0.71579,0.46426,1.15826,0.68543,0.98506,0.000274,0.000274,0.000274
24,1867.03,1.13945,0.65298,0.97243,0.82738,0.63398,0.71815,0.46517,1.16055,0.69558,0.98004,0.000241,0.000241,0.000241
25,1943.13,1.13267,0.6467,0.96702,0.81325,0.64672,0.72225,0.46892,1.15879,0.68876,0.97831,0.000208,0.000208,0.000208
26,2018.34,1.12568,0.64087,0.96287,0.84124,0.64641,0.72497,0.46878,1.16129,0.68617,0.97593,0.000175,0.000175,0.000175
27,2092.8,1.11482,0.62592,0.95595,0.83278,0.64984,0.72637,0.47578,1.15326,0.68057,0.97105,0.000142,0.000142,0.000142
28,2168.38,1.11113,0.62195,0.95978,0.84019,0.65488,0.73043,0.47824,1.14174,0.66908,0.96977,0.000109,0.000109,0.000109
29,2244.33,1.09828,0.61922,0.9552,0.83003,0.65707,0.72982,0.47886,1.14248,0.66717,0.96744,7.6e-05,7.6e-05,7.6e-05
30,2320.61,1.09282,0.6046,0.95049,0.81795,0.66663,0.73269,0.48041,1.14191,0.66496,0.96899,4.3e-05,4.3e-05,4.3e-05
