epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.129,0.95264,0.50694,0.89721,0.85014,0.70142,0.76366,0.49581,1.15817,0.70836,1.00345,2.08169e-05,2.08169e-05,2.08169e-05
2,282.805,0.92683,0.48921,0.88577,0.85785,0.70535,0.76611,0.4992,1.15915,0.70496,1.00381,2.07503e-05,2.07503e-05,2.07503e-05
3,425.162,0.91923,0.48357,0.88556,0.8519,0.71054,0.76444,0.49715,1.16038,0.71152,1.00431,2.05522e-05,2.05522e-05,2.05522e-05
4,563.587,0.90767,0.47449,0.87947,0.85021,0.70878,0.76689,0.49704,1.16187,0.7086,1.00566,2.02274e-05,2.02274e-05,2.02274e-05
5,699.55,0.89275,0.46839,0.87944,0.8439,0.70988,0.76482,0.49664,1.16048,0.71205,1.00417,1.9784e-05,1.9784e-05,1.9784e-05
6,834.109,0.93782,0.48994,0.8899,0.84762,0.71501,0.76678,0.49803,1.15991,0.70606,1.00366,1.92328e-05,1.92328e-05,1.92328e-05
7,968.516,0.94602,0.49323,0.89251,0.84786,0.71284,0.76573,0.49685,1.15788,0.70481,1.00296,1.85875e-05,1.85875e-05,1.85875e-05
8,1102.04,0.94708,0.4893,0.88917,0.8491,0.71056,0.76755,0.49892,1.15883,0.70562,1.00427,1.78638e-05,1.78638e-05,1.78638e-05
9,1236.48,0.93279,0.48999,0.89049,0.84933,0.7126,0.7666,0.49801,1.16081,0.7077,1.00486,1.70798e-05,1.70798e-05,1.70798e-05
10,1369.58,0.93722,0.48372,0.88834,0.8581,0.70758,0.76472,0.49648,1.15882,0.70488,1.00422,1.62545e-05,1.62545e-05,1.62545e-05
11,1502.58,0.94164,0.47745,0.88748,0.84903,0.70799,0.7611,0.49555,1.16253,0.70499,1.00474,1.54084e-05,1.54084e-05,1.54084e-05
12,1635.04,0.94226,0.47207,0.88907,0.86144,0.70613,0.76174,0.49546,1.16085,0.70914,1.00379,1.45624e-05,1.45624e-05,1.45624e-05
13,1767.24,0.93162,0.47218,0.88759,0.83929,0.71173,0.76236,0.49688,1.15875,0.70504,1.00236,1.37371e-05,1.37371e-05,1.37371e-05
14,1900.81,0.93122,0.46734,0.88444,0.83701,0.71492,0.76274,0.49842,1.15853,0.70414,1.00296,1.29531e-05,1.29531e-05,1.29531e-05
15,2033.59,0.93478,0.47093,0.88839,0.84308,0.71342,0.76489,0.49829,1.15901,0.70705,1.00335,1.22294e-05,1.22294e-05,1.22294e-05
16,2164.94,0.93195,0.47092,0.88377,0.84483,0.71603,0.76383,0.49955,1.16007,0.70696,1.00305,1.15841e-05,1.15841e-05,1.15841e-05
17,2298.61,0.9267,0.46778,0.88417,0.83534,0.7202,0.76494,0.49898,1.15924,0.70425,1.0026,1.10329e-05,1.10329e-05,1.10329e-05
18,2430.69,0.93002,0.46824,0.88413,0.84907,0.71457,0.76424,0.49909,1.15845,0.70534,1.00173,1.05895e-05,1.05895e-05,1.05895e-05
19,2563.9,0.93357,0.46801,0.88398,0.83976,0.718,0.76353,0.4988,1.15811,0.7069,1.00251,1.02647e-05,1.02647e-05,1.02647e-05
20,2698.77,0.92643,0.46598,0.88347,0.84264,0.71648,0.76359,0.49833,1.15795,0.70514,1.00281,1.00666e-05,1.00666e-05,1.00666e-05
