epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.653,0.99654,0.52152,0.90798,0.82147,0.6518,0.71614,0.46939,1.15427,0.6259,0.97276,1.06774e-05,1.06774e-05,1.06774e-05
2,271.63,0.99616,0.51741,0.90411,0.81833,0.65736,0.71816,0.47006,1.1543,0.62371,0.97166,1.06732e-05,1.06732e-05,1.06732e-05
3,408.51,1.01398,0.52552,0.90926,0.81988,0.65533,0.71848,0.46974,1.15417,0.62468,0.97212,1.06608e-05,1.06608e-05,1.06608e-05
4,544.566,1.01004,0.52229,0.90632,0.79981,0.66588,0.71823,0.47005,1.15366,0.62538,0.97224,1.06405e-05,1.06405e-05,1.06405e-05
5,680.377,1.00442,0.52164,0.90813,0.81471,0.65305,0.71616,0.46948,1.15182,0.62459,0.97177,1.06127e-05,1.06127e-05,1.06127e-05
6,814.974,1.00389,0.52088,0.90593,0.78856,0.66491,0.71746,0.47058,1.15226,0.62372,0.97132,1.05782e-05,1.05782e-05,1.05782e-05
7,948.792,1.00739,0.52118,0.90784,0.81613,0.64959,0.71601,0.47044,1.15159,0.62446,0.97137,1.05378e-05,1.05378e-05,1.05378e-05
8,1083.19,1.01027,0.51981,0.90541,0.81389,0.64846,0.7158,0.47146,1.15252,0.62452,0.97192,1.04925e-05,1.04925e-05,1.04925e-05
9,1217.51,0.99897,0.51875,0.9071,0.81124,0.65281,0.71648,0.47165,1.15316,0.6235,0.97157,1.04434e-05,1.04434e-05,1.04434e-05
10,1350.9,1.0035,0.51713,0.90465,0.81356,0.64519,0.71778,0.47151,1.15313,0.62223,0.97224,1.03917e-05,1.03917e-05,1.03917e-05
11,1486.14,1.00607,0.50845,0.90413,0.84546,0.63121,0.71647,0.466,1.16448,0.62984,0.97602,1.03387e-05,1.03387e-05,1.03387e-05
12,1619.32,1.0015,0.5026,0.90394,0.85738,0.62522,0.71631,0.46893,1.1603,0.6311,0.97394,1.02857e-05,1.02857e-05,1.02857e-05
13,1752.24,0.99013,0.5006,0.90286,0.85937,0.62447,0.71752,0.47028,1.15857,0.63164,0.97395,1.0234e-05,1.0234e-05,1.0234e-05
14,1885.13,0.98984,0.49823,0.89881,0.86862,0.62077,0.71712,0.46995,1.15866,0.63098,0.97347,1.01849e-05,1.01849e-05,1.01849e-05
15,2018.94,0.99473,0.50106,0.9034,0.84257,0.62762,0.7198,0.47181,1.15779,0.62984,0.97313,1.01396e-05,1.01396e-05,1.01396e-05
16,2153.07,0.99178,0.50075,0.90004,0.83016,0.63262,0.71886,0.47082,1.15812,0.63096,0.97328,1.00992e-05,1.00992e-05,1.00992e-05
17,2285.9,0.98831,0.49929,0.89956,0.82554,0.63508,0.71621,0.46862,1.15745,0.63244,0.9742,1.00647e-05,1.00647e-05,1.00647e-05
18,2418.85,0.98569,0.4969,0.89843,0.84717,0.62788,0.71658,0.46816,1.15752,0.63414,0.97415,1.00369e-05,1.00369e-05,1.00369e-05
19,2551.98,0.98836,0.49773,0.89963,0.84308,0.63144,0.71616,0.46851,1.158,0.63311,0.9746,1.00166e-05,1.00166e-05,1.00166e-05
20,2685.93,0.98461,0.49459,0.8995,0.85186,0.62483,0.71668,0.46948,1.15772,0.6295,0.97405,1.00042e-05,1.00042e-05,1.00042e-05
