epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1866,1.31318,1.05388,1.05381,0.65796,0.44836,0.49812,0.31247,1.24848,0.88405,1.01403,3.31224e-05,3.31224e-05,0.0669108
2,152.208,1.22774,0.82985,1.00791,0.71395,0.53324,0.59097,0.38007,1.15765,0.76918,0.96907,6.64106e-05,6.64106e-05,0.0336107
3,219.426,1.19919,0.78632,0.99347,0.77823,0.56666,0.64661,0.4208,1.13911,0.69739,0.96588,9.95184e-05,9.95184e-05,0.000310489
4,285.975,1.17283,0.7438,0.98294,0.79212,0.58528,0.66875,0.43586,1.12458,0.68993,0.9535,9.93906e-05,9.93906e-05,9.93906e-05
5,353.144,1.14854,0.71915,0.9758,0.80552,0.59795,0.69068,0.4491,1.12336,0.68355,0.96007,9.89183e-05,9.89183e-05,9.89183e-05
6,421.614,1.14441,0.70438,0.97477,0.76928,0.62014,0.69928,0.45868,1.10778,0.67381,0.95412,9.83133e-05,9.83133e-05,9.83133e-05
7,488.301,1.13704,0.69263,0.97021,0.79565,0.62196,0.71226,0.46844,1.09832,0.65779,0.95306,9.75773e-05,9.75773e-05,9.75773e-05
8,554.349,1.12378,0.66908,0.95908,0.80713,0.63008,0.71551,0.47085,1.09536,0.64773,0.94908,9.67122e-05,9.67122e-05,9.67122e-05
9,620.128,1.10516,0.66297,0.95751,0.78359,0.64931,0.71701,0.47139,1.09342,0.64538,0.94215,9.57205e-05,9.57205e-05,9.57205e-05
10,686.595,1.09798,0.64627,0.95656,0.81588,0.64575,0.73059,0.47478,1.0964,0.64724,0.95026,9.46048e-05,9.46048e-05,9.46048e-05
11,751.477,1.09021,0.64858,0.95119,0.78568,0.6794,0.74405,0.48391,1.09448,0.63492,0.94163,9.33683e-05,9.33683e-05,9.33683e-05
12,817.126,1.08975,0.63369,0.94806,0.81033,0.64389,0.73418,0.48529,1.08856,0.63659,0.94402,9.20142e-05,9.20142e-05,9.20142e-05
13,884.72,1.0858,0.63205,0.94664,0.82001,0.66404,0.74392,0.49241,1.07633,0.62165,0.94265,9.05463e-05,9.05463e-05,9.05463e-05
14,953.356,1.06578,0.62042,0.94368,0.82867,0.66336,0.74959,0.49534,1.07997,0.61732,0.9461,8.89687e-05,8.89687e-05,8.89687e-05
15,1020.4,1.06319,0.61223,0.94503,0.81671,0.66536,0.74657,0.48836,1.07778,0.61778,0.94171,8.72857e-05,8.72857e-05,8.72857e-05
16,1084.83,1.06112,0.61241,0.94343,0.81019,0.67788,0.75732,0.49663,1.07487,0.61568,0.94233,8.55018e-05,8.55018e-05,8.55018e-05
17,1151.53,1.05547,0.60121,0.93739,0.81977,0.68132,0.75624,0.50197,1.07141,0.61396,0.94166,8.3622e-05,8.3622e-05,8.3622e-05
18,1219.55,1.05067,0.60183,0.93989,0.82325,0.66584,0.75327,0.49779,1.07574,0.61613,0.94739,8.16514e-05,8.16514e-05,8.16514e-05
19,1284.86,1.04953,0.59349,0.93735,0.85029,0.65761,0.75801,0.50581,1.0627,0.60416,0.93481,7.95954e-05,7.95954e-05,7.95954e-05
20,1353.08,1.03044,0.58535,0.92668,0.83172,0.66779,0.76398,0.50613,1.06803,0.61402,0.92731,7.74596e-05,7.74596e-05,7.74596e-05
21,1421.97,1.03795,0.58767,0.93044,0.84292,0.67948,0.77033,0.50881,1.06619,0.60093,0.93069,7.525e-05,7.525e-05,7.525e-05
22,1488.93,1.02215,0.57694,0.92783,0.83903,0.67582,0.7724,0.51116,1.05744,0.59937,0.92758,7.29725e-05,7.29725e-05,7.29725e-05
23,1554.81,1.0221,0.57918,0.92671,0.83241,0.68842,0.77358,0.51599,1.06383,0.59197,0.93003,7.06335e-05,7.06335e-05,7.06335e-05
24,1621.86,1.02702,0.57578,0.92681,0.82801,0.6904,0.7707,0.51297,1.05989,0.59138,0.93486,6.82392e-05,6.82392e-05,6.82392e-05
25,1685.22,1.01792,0.57307,0.92744,0.82912,0.67853,0.77363,0.5157,1.0557,0.59354,0.93668,6.57963e-05,6.57963e-05,6.57963e-05
26,1748.96,1.01676,0.56142,0.92236,0.86098,0.67229,0.7742,0.51147,1.06017,0.59533,0.9326,6.33115e-05,6.33115e-05,6.33115e-05
27,1811.2,1.01849,0.56239,0.92071,0.8421,0.67463,0.77337,0.51812,1.04937,0.59008,0.92748,6.07916e-05,6.07916e-05,6.07916e-05
28,1877.69,1.01516,0.56266,0.92138,0.85084,0.69622,0.78791,0.52613,1.04694,0.58433,0.92694,5.82435e-05,5.82435e-05,5.82435e-05
29,1946.24,0.99984,0.54776,0.91779,0.83818,0.69322,0.78495,0.52591,1.04956,0.57763,0.93179,5.56742e-05,5.56742e-05,5.56742e-05
30,2010.18,1.00808,0.55281,0.91962,0.84628,0.69702,0.7854,0.52185,1.05168,0.57838,0.92974,5.30906e-05,5.30906e-05,5.30906e-05
31,2073.75,1.00493,0.54993,0.92113,0.84078,0.71092,0.78808,0.52605,1.04871,0.58158,0.92914,5.05e-05,5.05e-05,5.05e-05
32,2137.41,0.99408,0.54127,0.91295,0.8213,0.70392,0.78512,0.52711,1.04261,0.57982,0.92423,4.79094e-05,4.79094e-05,4.79094e-05
33,2205.86,0.98027,0.53647,0.91866,0.83931,0.70674,0.7913,0.53,1.04298,0.5736,0.9292,4.53258e-05,4.53258e-05,4.53258e-05
34,2273.23,0.98487,0.53693,0.91472,0.85217,0.69946,0.79376,0.53433,1.03887,0.57754,0.92471,4.27565e-05,4.27565e-05,4.27565e-05
35,2339.05,0.98235,0.53263,0.91128,0.82445,0.71275,0.7937,0.53153,1.03838,0.57763,0.92699,4.02084e-05,4.02084e-05,4.02084e-05
36,2404.41,0.98404,0.52957,0.9103,0.83707,0.69179,0.78516,0.52386,1.03874,0.57579,0.92394,3.76885e-05,3.76885e-05,3.76885e-05
37,2468.2,0.96894,0.52152,0.90866,0.82091,0.71538,0.794,0.53604,1.0349,0.57395,0.9214,3.52037e-05,3.52037e-05,3.52037e-05
38,2535.46,0.96017,0.52127,0.90676,0.84233,0.70452,0.79587,0.53377,1.02881,0.56968,0.91958,3.27608e-05,3.27608e-05,3.27608e-05
39,2599.61,0.97402,0.51938,0.90734,0.82239,0.71139,0.79329,0.52981,1.03169,0.56181,0.92064,3.03665e-05,3.03665e-05,3.03665e-05
40,2663.73,0.96153,0.5169,0.90938,0.84477,0.71212,0.79379,0.53416,1.02865,0.56679,0.92125,2.80275e-05,2.80275e-05,2.80275e-05
41,2728.18,0.95887,0.51089,0.9021,0.82393,0.71927,0.79433,0.5366,1.03254,0.56232,0.92209,2.575e-05,2.575e-05,2.575e-05
42,2795.12,0.96119,0.51219,0.9019,0.83026,0.72507,0.79732,0.53675,1.03098,0.55975,0.92062,2.35404e-05,2.35404e-05,2.35404e-05
43,2862.31,0.94242,0.50497,0.90224,0.85897,0.70087,0.79712,0.53764,1.02638,0.56075,0.9205,2.14046e-05,2.14046e-05,2.14046e-05
44,2931.18,0.96655,0.51695,0.90428,0.81445,0.74295,0.80008,0.54017,1.02771,0.55668,0.91973,1.93486e-05,1.93486e-05,1.93486e-05
45,2999.45,0.9543,0.51042,0.90231,0.81883,0.736,0.79985,0.54103,1.02386,0.55643,0.91689,1.7378e-05,1.7378e-05,1.7378e-05
46,3068.2,0.95806,0.50727,0.90494,0.82411,0.72983,0.80028,0.53875,1.02678,0.55663,0.91868,1.54982e-05,1.54982e-05,1.54982e-05
47,3133.8,0.9515,0.50775,0.90086,0.8196,0.72767,0.79976,0.54173,1.02232,0.5553,0.91493,1.37143e-05,1.37143e-05,1.37143e-05
48,3205.12,0.94398,0.50046,0.89875,0.82017,0.74606,0.80473,0.54262,1.02465,0.55285,0.91562,1.20313e-05,1.20313e-05,1.20313e-05
49,3274.11,0.95439,0.50692,0.90094,0.83167,0.72642,0.79769,0.53993,1.02643,0.55634,0.91682,1.04537e-05,1.04537e-05,1.04537e-05
50,3338.37,0.93561,0.49144,0.89777,0.82008,0.73921,0.80142,0.53989,1.02502,0.55491,0.91737,8.98581e-06,8.98581e-06,8.98581e-06
51,3402.89,0.95911,0.49592,0.8961,0.8277,0.72692,0.79612,0.53446,1.03348,0.56033,0.92183,7.63174e-06,7.63174e-06,7.63174e-06
52,3464.9,0.94581,0.48679,0.89536,0.8419,0.72882,0.79833,0.53817,1.02824,0.55854,0.91953,6.39518e-06,6.39518e-06,6.39518e-06
53,3526.11,0.94206,0.48593,0.89346,0.82878,0.74275,0.79927,0.53717,1.02906,0.55689,0.92085,5.2795e-06,5.2795e-06,5.2795e-06
54,3588.14,0.9474,0.48425,0.89517,0.84237,0.73602,0.80239,0.5392,1.02631,0.55391,0.91988,4.28777e-06,4.28777e-06,4.28777e-06
55,3649.95,0.93618,0.48128,0.89146,0.84589,0.73166,0.80204,0.54015,1.02512,0.55506,0.91854,3.4227e-06,3.4227e-06,3.4227e-06
56,3711.92,0.94719,0.48339,0.89564,0.84852,0.73127,0.80324,0.54016,1.02577,0.55456,0.91904,2.68667e-06,2.68667e-06,2.68667e-06
57,3774.97,0.93919,0.48127,0.8939,0.84078,0.73275,0.80274,0.54038,1.02581,0.55485,0.91923,2.08169e-06,2.08169e-06,2.08169e-06
58,3838.64,0.93997,0.4819,0.89318,0.83555,0.74105,0.80233,0.54032,1.02503,0.5535,0.9188,1.60943e-06,1.60943e-06,1.60943e-06
59,3901.23,0.93515,0.47866,0.89202,0.84158,0.73261,0.80214,0.54081,1.02474,0.55334,0.91898,1.27117e-06,1.27117e-06,1.27117e-06
60,3963.89,0.93657,0.4798,0.89014,0.84392,0.72826,0.80169,0.53976,1.02557,0.55437,0.91946,1.06784e-06,1.06784e-06,1.06784e-06
